Артикул материала;Наименование материала;Единица измерения;Стоимость;Коэффициент;Длина;Ширина;Толщина
DSP-H1401;ЛДСП Сосна Касцина 16 мм (Egger);кв.м;395;1,2;2800;2070;16
;ЛДСП Дуб сонома 16 мм;кв.м;2300;1,2;2800;2070;16
;ЛДСП техническая 16 мм, светлая;кв.м;0;1;2800;2070;16
;ЛДСП Орех 16 мм;кв.м;2300;1,2;2800;2070;16
;ЛДСП Дерево белое 16 мм;кв.м;2300;1,2;2800;2070;16
DSP-H3309-16;ЛДСП Гладстоун песочный 16 мм ST28 (Egger);кв.м;594;1,2;2800;2070;16
;ЛДСП Дуб термо корич. 16 мм;кв.м;2300;1,2;2800;2070;16
;ЛДСП белый 16 мм;кв.м;1800;1,2;2800;2070;16
DSP-W980-16;ЛДСП влагостойкая белый SM 16 мм (Egger);кв.м;445;1,1;2800;2070;16
DSP-H3309-8;ЛДСП Гладстоун песочный 8 мм ST28 (Egger);кв.м;561;1,2;2800;2070;8
U232 ST9;ЛДСП 10 мм Абрикос нюд (U232 ST9) Egger;кв.м;1500;1,2;2800;2070;10
H1277 ST9;ЛДСП 10 мм Акация Лэйклэнд светлая (H1277 ST9) Egger;кв.м;1500;1,2;2800;2070;10
U500 ST9;ЛДСП 10 мм Аква голубой (U500 ST9) Egger;кв.м;1500;1,2;2800;2070;10
U104 ST9;ЛДСП 10 мм Алебастр белый (U104 ST9) Egger;кв.м;1500;1,2;2800;2070;10
U504 ST9;ЛДСП 10 мм Альпийское озеро (U504 ST9) Egger;кв.м;1500;1,2;2800;2070;10
F509 ST2;ЛДСП 10 мм Алюминий (F509 ST2) Egger;кв.м;1500;1,2;2800;2070;10
F501 ST2;ЛДСП 10 мм Алюминий матированный (F501 ST2) Egger;кв.м;1500;1,2;2800;2070;10
U705 ST9;ЛДСП 10 мм Ангора серая (U705 ST9) Egger;кв.м;1500;1,2;2800;2070;10
U788 ST9;ЛДСП 10 мм Арктика серый (U788 ST9) Egger;кв.м;1500;1,2;2800;2070;10
U330 ST9;ЛДСП 10 мм Баклажан фиолетовый (U330 ST9) Egger;кв.м;1500;1,2;2800;2070;10
H1115 ST12;ЛДСП 10 мм Баменда серо-бежевый (H1115 ST12) Egger;кв.м;1500;1,2;2800;2070;10
U107 ST9;ЛДСП 10 мм Бархат жёлтый (U107 ST9) Egger;кв.м;1500;1,2;2800;2070;10
U200 ST9;ЛДСП 10 мм Бежевый (U200 ST9) Egger;кв.м;1500;1,2;2800;2070;10
U156 ST9;ЛДСП 10 мм Бежевый песок (U156 ST9) Egger;кв.м;1500;1,2;2800;2070;10
U313 ST9;ЛДСП 10 мм Белая роза (U313 ST9) Egger;кв.м;1500;1,2;2800;2070;10
U775 ST9;ЛДСП 10 мм Бело-серый (U775 ST9) Egger;кв.м;1500;1,2;2800;2070;10
W1100 ST9;ЛДСП 10 мм Белый Альпийский (W1100 ST9) Egger;кв.м;1500;1,2;2800;2070;10
W908 SM;ЛДСП 10 мм Белый базовый (W908 SM) Egger;кв.м;1500;1,2;2800;2070;10
W908 ST2;ЛДСП 10 мм Белый базовый (W908 ST2) Egger;кв.м;1500;1,2;2800;2070;10
W911 SM;ЛДСП 10 мм Белый кремовый (W911 SM) Egger;кв.м;1500;1,2;2800;2070;10
W911 ST2;ЛДСП 10 мм Белый кремовый (W911 ST2) Egger;кв.м;1500;1,2;2800;2070;10
W911 ST15;ЛДСП 10 мм Белый кремовый (W911 ST15) Egger;кв.м;1500;1,2;2800;2070;10
W980 SM;ЛДСП 10 мм Белый платиновый (W980 SM) Egger;кв.м;1500;1,2;2800;2070;10
W980 ST2;ЛДСП 10 мм Белый платиновый (W980 ST2) Egger;кв.м;1500;1,2;2800;2070;10
W980 ST15;ЛДСП 10 мм Белый платиновый (W980 ST15) Egger;кв.м;1500;1,2;2800;2070;10
W1300 ST9;ЛДСП 10 мм Белый полярный (W1300 ST9) Egger;кв.м;1500;1,2;2800;2070;10
W1000 ST9;ЛДСП 10 мм Белый премиум (W1000 ST9) Egger;кв.м;1500;1,2;2800;2070;10
W1000 ST19;ЛДСП 10 мм Белый премиум (W1000 ST19) Egger;кв.м;1500;1,2;2800;2070;10
W1000 ST38;ЛДСП 10 мм Белый премиум (W1000 ST38) Egger;кв.м;1500;1,2;2800;2070;10
H1733 ST9;ЛДСП 10 мм Берёза Майнау (H1733 ST9) Egger;кв.м;1500;1,2;2800;2070;10
F274 ST9;ЛДСП 10 мм Бетон светлый (F274 ST9) Egger;кв.м;1500;1,2;2800;2070;10
F823 ST10;ЛДСП 10 мм Бетон Чефалу светлый (F823 ST10) Egger;кв.м;1500;1,2;2800;2070;10
F186 ST9;ЛДСП 10 мм Бетон Чикаго светло-серый (F186 ST9) Egger;кв.м;1500;1,2;2800;2070;10
